iter	Passed	Remaining
0	339	339477
1	377	188366
2	388	129001
3	393	98018
4	396	78835
5	401	66478
6	410	58194
7	416	51591
8	424	46767
9	429	42537
10	436	39220
11	443	36547
12	448	34058
13	458	32306
14	480	31545
15	501	30845
16	543	31455
17	587	32062
18	618	31946
19	655	32099
20	707	32976
21	746	33196
22	761	32351
23	769	31285
24	777	30332
25	785	29422
26	793	28603
27	802	27844
28	810	27136
29	817	26436
30	826	25837
31	834	25248
32	843	24719
33	850	24161
34	860	23711
35	868	23252
36	878	22873
37	886	22439
38	892	21994
39	903	21693
40	915	21413
41	923	21054
42	930	20709
43	935	20334
44	940	19965
45	947	19650
46	953	19329
47	958	19013
48	965	18731
49	971	18463
50	977	18182
51	984	17953
52	990	17691
53	992	17379
54	997	17138
55	1003	16922
56	1008	16690
57	1016	16501
58	1021	16294
59	1028	16115
60	1035	15933
61	1040	15737
62	1045	15554
63	1052	15399
64	1063	15291
65	1071	15159
66	1075	14982
67	1081	14817
68	1090	14708
69	1095	14560
70	1102	14431
71	1107	14280
72	1111	14119
73	1117	13979
74	1122	13849
75	1126	13701
76	1130	13550
77	1136	13436
78	1141	13309
79	1146	13187
80	1151	13066
81	1157	12962
82	1162	12847
83	1167	12726
84	1174	12638
85	1178	12528
86	1182	12406
87	1186	12294
88	1191	12194
89	1195	12086
90	1198	11973
91	1203	11876
92	1210	11809
93	1217	11737
94	1224	11666
95	1229	11582
96	1233	11485
97	1238	11401
98	1244	11328
99	1249	11248
100	1255	11170
101	1261	11106
102	1266	11031
103	1271	10953
104	1295	11039
105	1301	10975
106	1307	10913
107	1316	10869
108	1323	10818
109	1330	10766
110	1338	10720
111	1345	10668
112	1351	10606
113	1356	10543
114	1368	10531
115	1378	10504
116	1388	10481
117	1395	10427
118	1402	10384
119	1408	10330
120	1418	10305
121	1427	10269
122	1434	10228
123	1440	10175
124	1446	10124
125	1453	10083
126	1459	10030
127	1464	9978
128	1470	9929
129	1475	9875
130	1481	9827
131	1487	9782
132	1493	9734
133	1498	9685
134	1505	9645
135	1511	9602
136	1517	9557
137	1523	9514
138	1530	9481
139	1537	9447
140	1543	9403
141	1549	9360
142	1554	9317
143	1560	9274
144	1565	9229
145	1571	9192
146	1576	9146
147	1581	9102
148	1586	9062
149	1592	9023
150	1597	8983
151	1603	8943
152	1609	8911
153	1615	8874
154	1620	8834
155	1642	8884
156	1646	8842
157	1652	8804
158	1659	8775
159	1665	8741
160	1671	8709
161	1684	8713
162	1691	8685
163	1699	8665
164	1705	8632
165	1713	8609
166	1719	8577
167	1725	8544
168	1731	8515
169	1737	8483
170	1746	8464
171	1750	8428
172	1757	8402
173	1766	8383
174	1772	8355
175	1779	8329
176	1783	8292
177	1789	8261
178	1795	8236
179	1803	8216
180	1809	8189
181	1817	8168
182	1824	8145
183	1832	8124
184	1842	8114
185	1849	8092
186	1855	8064
187	1860	8034
188	1867	8012
189	1873	7984
190	1877	7950
191	1881	7919
192	1886	7888
193	1891	7856
194	1896	7830
195	1903	7809
196	1908	7780
197	1913	7749
198	1920	7730
199	1926	7704
200	1931	7678
201	1944	7681
202	1954	7672
203	1961	7652
204	1969	7639
205	1976	7619
206	1987	7612
207	2001	7620
208	2010	7607
209	2019	7596
210	2047	7655
211	2068	7688
212	2081	7691
213	2097	7705
214	2109	7700
215	2120	7695
216	2131	7691
217	2147	7702
218	2171	7743
219	2189	7761
220	2206	7777
221	2222	7790
222	2259	7871
223	2280	7899
224	2293	7899
225	2306	7900
226	2315	7885
227	2324	7869
228	2327	7836
229	2334	7814
230	2344	7803
231	2354	7795
232	2363	7781
233	2371	7762
234	2378	7743
235	2399	7768
236	2416	7779
237	2439	7809
238	2461	7838
239	2485	7871
240	2521	7942
241	2734	8565
242	2755	8583
243	2776	8602
244	2790	8598
245	2810	8615
246	2843	8668
247	2875	8720
248	3249	9800
249	3351	10055
250	3380	10087
251	3397	10083
252	3405	10055
253	3417	10037
254	3427	10014
255	3441	10000
256	3452	9982
257	3462	9958
258	3475	9943
259	3487	9925
260	3497	9903
261	3529	9942
262	3542	9926
263	3549	9896
264	3562	9881
265	3573	9861
266	3583	9837
267	3600	9834
